TorayCA,T1000GB,PAN-CF,291,5690,5.9,1,5.03
Mitsubishi,K13D,Pitch-CF,940,3210,4.2,1,11.72
NGF,XN-05,Pitch-CF,41,1100,7.9,1,9.64
TorayCA,T300,PAN-CF,221,3200,7,1,7.39
TorayCA,M40B,PAN-CF,359,2470,6.8,1,7.05
TorayCA,M60JB,PAN-CF,521,3380,5.8,1,5.13
NGF,XN-90,Pitch-CF,876,3460,5,1,10.03
Amoco,P120J,Pitch-CF,820,3760,3.85,1,9.6
Amoco,P75S,Pitch-CF,517,2700,6.453,1,5.5
Sigri_Great_Lakes,C320,PAN-CF,230,4990,5.89,1,3.9
TorayCA,T800H,PAN-CF,294,5400,5.5,1,5
Tenax,HTA5131,PAN-CF,238,4391,5.65,1,7
Tenax,C124,PAN-CF,225,4344,5.7119,25,7
Vetrotex,C100,E-glass,73,2400,5.76,25,7
Owens_Corning,FliteStrand_S_ZT,S-glass,88,1378,4,50,9
Etcheverrt,GF,E-glass,46,1379,2.36,25,26.8
